Level,ID,Requirement,Parent Requirement,Child Requirement,Verification Method,Notes,,
1,AUT 10,UAS shall autonomously perform all motion planning necessary during the trailing phase.,FR 8,"AUT 10.1, 10.2",A,,,
1,AUT 11,UAS shall autonomously perform all motion planning necessary during the coarse localization phase.,FR 8,"AUT 11.1, 11.2",A,,,
1,AUT 12,UAS shall autonomously perform all motion planning necessary during the fine localization phase.,FR 8,"AUT 12.1, 12.2",A,,,
1,AUT 13,UAS shall autonomously perform all motion planning necessary during the joint localization phase.,FR 8,"AUT 13.1, AUT 13.2",A,,,
1,AUT 14,UAS shall autonomously interpret and send the necessary information to the user via a ground UI.,FR 7,"AUT 14.1, 14.2, 14.3, 14.4, 14.5",T,,,
1,AUT 15,UAS shall have the capability to initiate and disengage the autonomous flight via a ground UI.,FR 7,"AUT 15.1, 15.2, 15.3, 15.4",T,,,
1,AUT 16,UAS shall perform all autonomous motion in a safe and controlled way.,FR 8,"AUT 16.1, 16.2, 16.3, 16.4",I,,,
,,,,,,,,
,Drone,,,,,,,
1,UAS 1,UAS shall accommodate for the weight and size of the payloads,FR 8,"UAS 1.1, 1.2",T,,,
1,UAS 2,UAS shall provide necessary electrical power to all systems for a 15-minute flight,FR 8,"UAS 2.1, 2.2",T,,,
1,UAS 3,UAS shall provide the necessary computational power for all operations during a 15-minute flight,"FR 1, FR 2",,T,,,
1,UAS 4,UAS shall provide the framework for manual flight,FR 3,UAS 4.1,T,,,
1,UAS 5,UAS shall provide the framework for autonomous flight,"FR 1, FR 2",,T,,,
1,UAS 6,UAS shall have all necessary sensors to determine attitude,"FR 1, FR 2",,T/A,,,
1,UAS 7,"UAS shall be capable of transferring and recieving all necessary operational, flight, and sensor data to and from the 
ground station",FR 7,UAS 7.1,T,,,
1,UAS 8,UAS shall be capable of storing data that will be accessible at the end of the flight,FR 7,,T,,,
1,UAS 9,UAS shall be able to maintain pace with both RGVs,"FR 1, FR 2",UAS 9.1,T,,,
1,UAS 10,UAS shall adhere to all relevant FAA and CU regulations,FR 9,"UAS 10.1, 10.2, 10.3, 10.4, 10.5, 
10.6, 10.7, 10.8, 10.9, 10.10",T/I,,,
,Sensing,,,,,,,
1,SNS 1,UAS shall display live aircraft states and desired RGV tracking artifacts to the operator at a ground control station through a user interface (UI).,FR 7,"SNS 1.1, 1.2, 1.3",T ,,,
1,SNS 2,UAS shall use a RGB camera as its primary sensor.,FR 2,"SNS 2.1, 2.2, 2.3",I ,,,
1,SNS 3,UAS shall have an onboard secondary sensor.,FR 2,"SNS 3.1, 3.2",I ,,,
1,SNS 4,UAS shall be able to identify a given RGV during the search phase,FR 2,SNS 4.1,D ,,,
1,SNS 5,UAS shall be able to continuously locate a given RGV during trailing,FR 2,"SNS 5.1, 5.2",D ,,,
1,SNS 6,UAS shall be able to coarsely localize a given RGV for at least 60 seconds,FR 2,"SNS 6.1, 6.2, 6.3, 6.4, 6.5",D ,,,
1,SNS 7,UAS shall be able to finely localize a given RGV for at least 30 seconds,FR 2,"SNS 7.1, 7.2, 7.3, 7.4, 7.5",D ,,,
1,SNS 7,UAS shall be able to jointly localize both RGVs for at least 20 seconds,FR 2,"SNS 8.1, 8.2, 8.3",D ,,,
1,SNS 8,UAS shall adhere to all FCC regulations.,FR 9,SNS 9.1,T/I,,,
,,,,,,,,
,LEVEL 2 ,SUB-SYSTEM REQUIREMENTS,,,,,,
,Autonomy,LOOK AT THE AUTONOMY SUBTEAM GOOGLE DOC FOR BETTER FLOW DOWN FROM LVL 1s,,,,,,
2,AUT 1.1,All motion planning shall include horizontal plane bounds on UAS movement.,AUT 1,,A,,,
2,AUT 2.1,All motion planning shall include vertical axis bounds on UAS movement.,AUT 2,,A,,,
2,AUT 3.1,UAS shall recognize when a height of 30-60 ft relative to the ground is reached during the takeoff phase and will begin searching for RGVs.,AUT 3,,D,,,
2,AUT 3.2,UAS shall recognize when one RGV has been localized and will begin searching for any additional RGV.,AUT 3,,D,,,
2,AUT 3.3,UAS shall default to the search phase when no RGV is detected or when a UI overload control is deactivated.,AUT 3,,D,,,
2,AUT 4.1,UAS shall recognize when an initial RGV has been detected and will begin trailing the motion of the RGV.,AUT 4,,D,,,
2,AUT 4.2,"UAS shall recognize when an additional RGV has been detected and will begin trailing the motion of the additional RGV, taking into account not to follow any prior localized RGVs.",AUT 4,,D,,,
2,AUT 5.1,"UAS shall recognize when a tracked RGV stops its motion, characterized by a speed of less than TBD m/s, and will then begin coarse localization.",AUT 5,,D,,,
2,AUT 6.1,UAS shall recognize when an RGV has been coarsely localized for at least 60 seconds and will then begin fine localization.,AUT 6,,D,,,
2,AUT 7.1,UAS shall recognize when all RGVs have been finely localized for at least 30 seconds and will then begin joint localization on all RGVs.,AUT 7,,D,,,
2,AUT 8.1,UAS shall recognize when all RGVs have been jointly localized for at least 20 seconds and will register as mission complete.,AUT 8,,D,,,
2,AUT 8.2,UAS shall perform a celebratory maneuver upon successful completion.,AUT 8,,D,,,
2,AUT 8.3,UAS shall initiate the landing phase after mission completion.,AUT 8,,D,,,
2,AUT 9.1,UAS shall perform a designated search pattern to attempt to identify RGVs.,AUT 9,,D,,,
2,AUT 9.2,UAS shall perform the search pattern at a rate that ensures accurate sensing.,AUT 9,,A,,,
2,AUT 10.1,UAS shall always be less than 40 ft horizontal ground distance away from any RGV it is currently trailing.,AUT 10,,A,,,
2,AUT 10.2,UAS shall be able to follow RGV motion at speeds of up to 2 m/s.,AUT 10,,A,,,
2,AUT 11.1,UAS shall perform an orbiting flight path maneuver around the RGV it is coarse localizing.,AUT 11,,A,,,
2,AUT 11.2,UAS shall perform the orbiting flight path maneuver at a rate and path that informs accurate sensing.,AUT 11,,A,,,
2,AUT 12.1,UAS shall perform an informative flight path maneuver that will reduce RGV location error during fine localization by TBD amount.,AUT 12,,A,,,
2,AUT 12.2,UAS shall perform the informative flight path maneuver at a rate and path that informs accurate sensing.,AUT 12,,A,,,
2,AUT 13.1,UAS shall perform a joint localization flight path maneuver that will allow the capture of both RGVs by either the primary or secondary sensor.,AUT 13,,A,,,
2,AUT 13.2,UAS shall perform the joint localization flight path maneuver at a rate that ensures accurate sensing.,AUT 13,,A,,,
2,AUT 14.1,UI shall display a 2D map of the 150 ft x 150 ft environment.,AUT 14,,T,,,
2,AUT 14.2,UI shall display the current drone UAS location relative to the environment.,AUT 14,,T,,,
2,AUT 14.3,UI shall display an estimated state for acquired RGV location(s) at each stage of localization.,AUT 14,,T,,,
2,AUT 14.4,UI shall display the current phase of operation.,AUT 14,,T,,,
2,AUT 14.5,UI shall display a timer indicating the amount of time spent in the current phase.,AUT 14,,T,,,
2,AUT 15.1,"UI shall have the ability to initiate the UAS mission, beginning the startup sequence.",AUT 15,,T,,,
2,AUT 15.2,"UI shall have the ability to activate a hover mode for the UAS, stopping all motion and mission operations until deactivated.",AUT 15,,T,,,
2,AUT 15.3,"UI shall have the ability to abort the UAS mission, commanding the UAS to return to base and land.",AUT 15,,T,,,
2,AUT 15.4,"UI shall be able to switch the UAS control method to a manual handheld controller, deactivating the autonomous controller.",AUT 15,,T,,,
2,AUT 16.1,All UAS motion shall be limited to speeds of less than TBD m/s.,AUT 16,,I,,,
2,AUT 16.2,All UAS motion shall be limited to accelerations of less than TBD g’s.,AUT 16,,I,,,
2,AUT 16.3,"Any UAS motion detected outside the defined mission area, besides takeoff and landing, shall be immediately aborted, and the UAS shall be set to hover mode.",AUT 16,,I,,,
2,AUT 16.4,UAS autonomous flight initiation shall occur after a TBD second countdown to ensure safe initiation.,AUT 16,,I,,,
,,,,,,,,
,Drone,,,,,,,
2,UAS 1.1,The UAS shall provide adequate structural support and impact absorption to provide protection for hardware and bystanders in case of accident.,UAS 1,,T/A,,,
2,UAS 1.2,The UAS shall be equipped with proper mounting solutions for sensors.,"UAS 1, UAS 6",,I/T,,,
2,UAS 2.1,UAS shall have a battery that is capable of safely providing power to all systems throughout the entire flight.,UAS 2,,T/A,,,
2,UAS 2.2,"UAS shall have access to a computer that can adequately handle all computational requirements for drone 
operation.",UAS 2,,T,,,
2,UAS 4.1,Systems and motors shall be calibrated to provide specific movement given an input.,"UAS 4, UAS 5",,T,,,
2,UAS 7.1,UI design shall allow for sending and recieving of signals to and from the UAS.,UAS 7,,T,,,
2,UAS 7.2,UAS shall be able to reliably send and recieve all signals over any distance within the operational boundaries.,UAS 7,,T,,,
2,UAS 9.1,Motors shall be strong enough to allow the drone to move at speeds greater than the movement speed of the RGV.,UAS 9,,T/D,,,
2,UAS 10.1,UAS shall weigh no more than 55 pounds in order to comply with FAA regulations,UAS 10,,I,,,
2,UAS 10.2,UAS shall be able to abort operation,UAS 10,,T,,,
2,UAS 10.3,UAS shall have landing gear,UAS 10,,I,,,
2,UAS 10.4,UAS propellers shall not interfere with each other or with the aircraft body,UAS 10,,D,,,
2,UAS 10.5,UAS vibrations shall be within 0.005 inches of it's center of gravity at the propellers,UAS 10,,T/D,,,
2,UAS 10.6,UAS shall have a diverse array of antennas,UAS 10,,I,,,
2,UAS 10.7,Ground station shall have a diverse array of antennas.,UAS 10,,I,,,
2,UAS 10.8,UAS shall have a low presence of fibrous materials,UAS 10,,A,,,
2,UAS 10.9,UAS shall be able to remain stable while in up to 10mph winds,UAS 10,,T/A,,,
2,UAS 10.10,UAS shall be stable about all axes during operation,"UAS 6, UAS 10",,A,,,
,,,,,,,,
,Sensing,,,,,,,
2,SNS 1.1,All data collected during the mission shall be saved and made available for post processing.,SNS 1,,T,,,
2,SNS 1.2,Logged data shall be referenced to the aircraft’s state at the time of recording.,SNS 1,,T,,,
2,SNS 1.3,An onboard communications link shall transmit data to the ground station during flight.,SNS 1,,T,,,
2,SNS 2.1,The primary sensor shall be used exclusively during coarse localization.,SNS 2,,I,,,
2,SNS 2.2,The primary sensor shall not use additional sensing capabilities other than RGB.,SNS 2,,I,,,
2,SNS 2.3,The primary sensor shall not directly communicate with a given RGV.,SNS 2,,I,,,
2,SNS 3.1,The secondary sensor shall be used exclusively during fine localization.,SNS 3,,I,,,
2,SNS 3.2,The secondary sensor shall not directly communicate with a given RGV.,SNS 3,,I,,,
2,SNS 4.1,Each RGV shall be identified during the course of the mission.,SNS 4,,D,,,
2,SNS 5.1,The primary sensor shall provide state estimates of the RGV during trailing.,SNS 5,,D,,,
2,SNS 5.2,Each RGV shall be trailed during the course of the mission.,SNS 5,,D,,,
2,SNS 6.1,The UAS shall complete coarse localization within 60 seconds.,SNS 6,,D,,,
2,SNS 6.2,Coarse localization sensing data shall be acquired exclusively by the primary sensor.,SNS 6,,I,,,
2,SNS 6.3,The primary sensor shall record data at multiple aerial locations along an orbiting flight path.,SNS 6,,T,,,
2,SNS 6.4,"Once the RGV is coarsely localized, the inertial estimation of the RGV shall be accurate to within a 5 meter radius.",SNS 6,,D,,,
2,SNS 6.5,Passive or active emitters mounted to the RGV shall not be used for coarse localization.,SNS 6,,I,,,
2,SNS 6.6,Each RGV shall be coarsely localized during the course of the mission.,SNS 6,,D,,,
2,SNS 7.1,The UAS shall complete fine localization within 30 seconds.,SNS 7,,D,,,
2,SNS 7.2,Fine localization sensing data shall be acquired exclusively by the secondary sensor,SNS 7,,I,,,
2,SNS 7.3,The secondary sensor shall record data at multiple locations along an informed flight path.,SNS 7,,D,,,
2,SNS 7.4,Fine localization shall provide an increase in accuracy for the RGVs inertial estimation to within 1 meter.,SNS 7,,D,,,
2,SNS 7.5,Each RGV shall be finely localized during the course of the mission.,SNS 7,,D,,,
2,SNS 8.1,The UAS shall complete joint localization of both RGVs within 20 seconds.,SNS 8,,D,,,
2,SNS 8.2,Joint localization shall provide an inertial estimate of both RGVs to within a 2 meter radius.,SNS 8,,T,,,
2,SNS 8.3,The sensor used for joint localization shall have a field of view that encompasses the entire mission area in the frame from a height of 60 ft. (~121°).,SNS 8,,I,,,
2,SNS 9.1,All radio frequency transmission shall have a frequency within a permissible bandwidth as defined by the FCC (2.4 or 5 GHz).,SNS 9,,I,,,
